# tildes-es.tsv — mapa de restauración de tildes (generado, NO editar a mano)
# Generador: scripts/gen-tildes.ts  |  Regla: entra solo si la forma sin
# tilde NO es palabra española válida y la restauración es única.
# Fuente: RLA-ES via LibreOffice/dictionaries (MPL 1.1)
# es_ES.dic sha256=6975dddec3d5d2c676069537bc67b4b5f786c65c5d4cf6703a82acf779ac9ec1
# es_ES.aff sha256=e73a9bf8e1383f4986a5dc9e2fbed49371c0c61f511c626d15586bd433c1cad9
# pares=157895
abaca	abacá
apersonandose	apersonándose
apersonaramos	apersonáramos
apersonaria	apersonaría
apersonariais	apersonaríais
apersonariamos	apersonaríamos
apersonarian	apersonarían
apersonarias	apersonarías
apersonasemos	apersonásemos
apersoneis	apersonéis
apesadumbrabamos	apesadumbrábamos
apesadumbrais	apesadumbráis
apesadumbrandose	apesadumbrándose
apesadumbraramos	apesadumbráramos
apesadumbraria	apesadumbraría
apesadumbrariais	apesadumbraríais
apesadumbrariamos	apesadumbraríamos
apesadumbrarian	apesadumbrarían
apesadumbrarias	apesadumbrarías
apesadumbrasemos	apesadumbrásemos
apesadumbreis	apesadumbréis
apesarabamos	apesarábamos
apesarais	apesaráis
apesarandose	apesarándose
apesararamos	apesaráramos
apesararia	apesararía
apesarariais	apesararíais
apesarariamos	apesararíamos
apesararian	apesararían
apesararias	apesararías
apesarasemos	apesarásemos
apesareis	apesaréis
apestabamos	apestábamos
apestais	apestáis
apestandose	apestándose
apestaramos	apestáramos
apestaria	apestaría
apestariais	apestaríais
apestariamos	apestaríamos
apestarian	apestarían
apestarias	apestarías
apestasemos	apestásemos
apesteis	apestéis
apestillabamos	apestillábamos
apestillais	apestilláis
apestillandose	apestillándose
apestillaramos	apestilláramos
apestillaria	apestillaría
apestillariais	apestillaríais
apestillariamos	apestillaríamos
apestillarian	apestillarían
apestillarias	apestillarías
apestillasemos	apestillásemos
apestilleis	apestilléis
apeteceis	apetecéis
apetecera	apetecerá
apeteceran	apetecerán
apeteceras	apetecerás
apetecere	apeteceré
apetecereis	apeteceréis
apeteceria	apetecería
apeteceriais	apeteceríais
apeteceriamos	apeteceríamos
apetecerian	apetecerían
apetecerias	apetecerías
apeteci	apetecí
apetecia	apetecía
apeteciais	apetecíais
apeteciamos	apetecíamos
apetecian	apetecían
apetecias	apetecías
apeteciendose	apeteciéndose
apetecieramos	apeteciéramos
apetecieremos	apeteciéremos
apeteciesemos	apeteciésemos
apetecio	apeteció
apetezcais	apetezcáis
apezuñabamos	apezuñábamos
apezuñais	apezuñáis
apezuñandose	apezuñándose
apezuñaramos	apezuñáramos
apezuñaria	apezuñaría
apezuñariais	apezuñaríais
apezuñariamos	apezuñaríamos
apezuñarian	apezuñarían
apezuñarias	apezuñarías
apezuñasemos	apezuñásemos
apezuñeis	apezuñéis
apiaceas	apiáceas
apiadabamos	apiadábamos
apiadais	apiadáis
apiadandose	apiadándose
apiadaramos	apiadáramos
apiadaria	apiadaría
apiadariais	apiadaríais
apiadariamos	apiadaríamos
apiadarian	apiadarían
apiadarias	apiadarías
apiadasemos	apiadásemos
apiadate	apiádate
apiadeis	apiadéis
apiademonos	apiadémonos
apiadense	apiádense
apiadese	apiádese
apianabamos	apianábamos
apianais	apianáis
apianandose	apianándose
apianaramos	apianáramos
apianaria	apianaría
apianariais	apianaríais
apianariamos	apianaríamos
apianarian	apianarían
apianarias	apianarías
apianasemos	apianásemos
apianeis	apianéis
apicarabamos	apicarábamos
apicarais	apicaráis
apicarandose	apicarándose
apicararamos	apicaráramos
apicararia	apicararía
apicarariais	apicararíais
apicarariamos	apicararíamos
apicararian	apicararían
apicararias	apicararías
apicarasemos	apicarásemos
apicareis	apicaréis
apice	ápice
apices	ápices
apilabamos	apilábamos
apilais	apiláis
apilandola	apilándola
apilandolas	apilándolas
apilandolo	apilándolo
apilandolos	apilándolos
apilandose	apilándose
apilaramos	apiláramos
apilaria	apilaría
apilariais	apilaríais
apilariamos	apilaríamos
apilarian	apilarían
apilarias	apilarías
apilasemos	apilásemos
apileis	apiléis
apimpollabamos	apimpollábamos
apimpollais	apimpolláis
apimpollandose	apimpollándose
apimpollaramos	apimpolláramos
apimpollaria	apimpollaría
apimpollariais	apimpollaríais
apimpollariamos	apimpollaríamos
apimpollarian	apimpollarían
apimpollarias	apimpollarías
apimpollasemos	apimpollásemos
apimpolleis	apimpolléis
apiñabamos	apiñábamos
apiñais	apiñáis
apiñandose	apiñándose
apiñaramos	apiñáramos
apiñaria	apiñaría
apiñariais	apiñaríais
apiñariamos	apiñaríamos
apiñarian	apiñarían
apiñarias	apiñarías
apiñasemos	apiñásemos
apiñeis	apiñéis
apiojabamos	apiojábamos
apiojais	apiojáis
apiojandose	apiojándose
apiojaramos	apiojáramos
apiojaria	apiojaría
apiojariais	apiojaríais
apiojariamos	apiojaríamos
apiojarian	apiojarían
apiojarias	apiojarías
apiojasemos	apiojásemos
apiojeis	apiojéis
apiolabamos	apiolábamos
apiolais	apioláis
apiolandose	apiolándose
apiolaramos	apioláramos
apiolaria	apiolaría
apiolariais	apiolaríais
apiolariamos	apiolaríamos
apiolarian	apiolarían
apiolarias	apiolarías
apiolasemos	apiolásemos
apioleis	apioléis
apipabamos	apipábamos
apipais	apipáis
apipandose	apipándose
apiparamos	apipáramos
apiparia	apiparía
apipariais	apiparíais
apipariamos	apiparíamos
apiparian	apiparían
apiparias	apiparías
apipasemos	apipásemos
apipeis	apipéis
apiporrabamos	apiporrábamos
apiporrais	apiporráis
apiporrandose	apiporrándose
apiporraramos	apiporráramos
apiporraria	apiporraría
apiporrariais	apiporraríais
apiporrariamos	apiporraríamos
apiporrarian	apiporrarían
apiporrarias	apiporrarías
apiporrasemos	apiporrásemos
apiporreis	apiporréis
apisonabamos	apisonábamos
apisonais	apisonáis
apisonandose	apisonándose
apisonaramos	apisonáramos
apisonaria	apisonaría
apisonariais	apisonaríais
apisonariamos	apisonaríamos
apisonarian	apisonarían
apisonarias	apisonarías
apisonasemos	apisonásemos
apisoneis	apisonéis
apitabamos	apitábamos
apitais	apitáis
apitandose	apitándose
apitaramos	apitáramos
apitaria	apitaría
apitariais	apitaríais
apitariamos	apitaríamos
apitarian	apitarían
apitarias	apitarías
apitasemos	apitásemos
apiteis	apitéis
apitonabamos	apitonábamos
apitonais	apitonáis
apitonandose	apitonándose
apitonaramos	apitonáramos
apitonaria	apitonaría
apitonariais	apitonaríais
apitonariamos	apitonaríamos
apitonarian	apitonarían
apitonarias	apitonarías
apitonasemos	apitonásemos
apitoneis	apitonéis
aplacabamos	aplacábamos
aplacais	aplacáis
aplacandose	aplacándose
aplacaramos	aplacáramos
aplacaria	aplacaría
aplacariais	aplacaríais
aplacariamos	aplacaríamos
aplacarian	aplacarían
aplacarias	aplacarías
aplacasemos	aplacásemos
aplaceis	aplacéis
aplacera	aplacerá
aplaceran	aplacerán
aplaceras	aplacerás
aplacere	aplaceré
aplacereis	aplaceréis
aplaceria	aplacería
aplaceriais	aplaceríais
aplaceriamos	aplaceríamos
aplacerian	aplacerían
aplacerias	aplacerías
aplaci	aplací
aplacia	aplacía
aplaciais	aplacíais
aplaciamos	aplacíamos
aplacian	aplacían
aplacias	aplacías
aplaciendose	aplaciéndose
aplacieramos	aplaciéramos
aplacieremos	aplaciéremos
aplaciesemos	aplaciésemos
aplacio	aplació
aplanabamos	aplanábamos
aplanais	aplanáis
aplanandose	aplanándose
aplanaramos	aplanáramos
aplanaria	aplanaría
aplanariais	aplanaríais
aplanariamos	aplanaríamos
aplanarian	aplanarían
aplanarias	aplanarías
aplanasemos	aplanásemos
aplanchabamos	aplanchábamos
aplanchais	aplancháis
aplanchandose	aplanchándose
aplancharamos	aplancháramos
aplancharia	aplancharía
aplanchariais	aplancharíais
aplanchariamos	aplancharíamos
aplancharian	aplancharían
aplancharias	aplancharías
aplanchasemos	aplanchásemos
aplancheis	aplanchéis
aplaneis	aplanéis
aplantillabamos	aplantillábamos
aplantillais	aplantilláis
aplantillandose	aplantillándose
aplantillaramos	aplantilláramos
aplantillaria	aplantillaría
aplantillariais	aplantillaríais
aplantillariamos	aplantillaríamos
aplantillarian	aplantillarían
aplantillarias	aplantillarías
aplantillasemos	aplantillásemos
aplantilleis	aplantilléis
aplaqueis	aplaquéis
aplastabamos	aplastábamos
aplastais	aplastáis
aplastala	aplástala
aplastalas	aplástalas
aplastalo	aplástalo
aplastalos	aplástalos
aplastandola	aplastándola
aplastandolas	aplastándolas
aplastandolo	aplastándolo
aplastandolos	aplastándolos
aplastandome	aplastándome
aplastandonos	aplastándonos
aplastandoos	aplastándoos
aplastandose	aplastándose
aplastandote	aplastándote
aplastaramos	aplastáramos
aplastaria	aplastaría
aplastariais	aplastaríais
aplastariamos	aplastaríamos
aplastarian	aplastarían
aplastarias	aplastarías
aplastasemos	aplastásemos
aplasteis	aplastéis
aplatanabamos	aplatanábamos
aplatanais	aplatanáis
aplatanandose	aplatanándose
aplatanaramos	aplatanáramos
aplatanaria	aplatanaría
aplatanariais	aplatanaríais
aplatanariamos	aplatanaríamos
aplatanarian	aplatanarían
aplatanarias	aplatanarías
aplatanasemos	aplatanásemos
aplataneis	aplatanéis
aplaudais	aplaudáis
aplaudi	aplaudí
aplaudia	aplaudía
aplaudiais	aplaudíais
aplaudiamos	aplaudíamos
aplaudian	aplaudían
aplaudias	aplaudías
aplaudiendole	aplaudiéndole
aplaudiendoles	aplaudiéndoles
aplaudiendome	aplaudiéndome
aplaudiendonos	aplaudiéndonos
aplaudiendoos	aplaudiéndoos
aplaudiendose	aplaudiéndose
aplaudiendote	aplaudiéndote
aplaudieramos	aplaudiéramos
aplaudieremos	aplaudiéremos
aplaudiesemos	aplaudiésemos
aplaudio	aplaudió
aplaudira	aplaudirá
aplaudiran	aplaudirán
aplaudiras	aplaudirás
aplaudire	aplaudiré
aplaudireis	aplaudiréis
aplaudiria	aplaudiría
aplaudiriais	aplaudiríais
aplaudiriamos	aplaudiríamos
aplaudirian	aplaudirían
aplaudirias	aplaudirías
aplaudis	aplaudís
aplazabamos	aplazábamos
aplazais	aplazáis
aplazandola	aplazándola
aplazandolas	aplazándolas
aplazandolo	aplazándolo
aplazandolos	aplazándolos
aplazandose	aplazándose
aplazaramos	aplazáramos
aplazaria	aplazaría
aplazariais	aplazaríais
aplazariamos	aplazaríamos
aplazarian	aplazarían
aplazarias	aplazarías
aplazasemos	aplazásemos
aplazcais	aplazcáis
aplebeyabamos	aplebeyábamos
aplebeyais	aplebeyáis
aplebeyandose	aplebeyándose
aplebeyaramos	aplebeyáramos
aplebeyaria	aplebeyaría
aplebeyariais	aplebeyaríais
aplebeyariamos	aplebeyaríamos
aplebeyarian	aplebeyarían
aplebeyarias	aplebeyarías
aplebeyasemos	aplebeyásemos
aplebeyeis	aplebeyéis
aplegabamos	aplegábamos
aplegais	aplegáis
aplegandose	aplegándose
aplegaramos	aplegáramos
aplegaria	aplegaría
aplegariais	aplegaríais
aplegariamos	aplegaríamos
aplegarian	aplegarían
aplegarias	aplegarías
aplegasemos	aplegásemos
aplegueis	apleguéis
aplicabamos	aplicábamos
aplicacion	aplicación
aplicais	aplicáis
aplicandola	aplicándola
aplicandolas	aplicándolas
aplicandole	aplicándole
aplicandoles	aplicándoles
aplicandolo	aplicándolo
aplicandolos	aplicándolos
aplicandome	aplicándome
aplicandonos	aplicándonos
aplicandoos	aplicándoos
aplicandose	aplicándose
aplicandote	aplicándote
aplicaramos	aplicáramos
aplicaria	aplicaría
aplicariais	aplicaríais
aplicariamos	aplicaríamos
aplicarian	aplicarían
aplicarias	aplicarías
aplicarmela	aplicármela
aplicarmelas	aplicármelas
aplicarmelo	aplicármelo
aplicarmelos	aplicármelos
aplicarnosla	aplicárnosla
aplicarnoslas	aplicárnoslas
aplicarnoslo	aplicárnoslo
aplicarnoslos	aplicárnoslos
aplicarosla	aplicárosla
aplicaroslas	aplicároslas
aplicaroslo	aplicároslo
aplicaroslos	aplicároslos
aplicarsela	aplicársela
aplicarselas	aplicárselas
aplicarselo	aplicárselo
aplicarselos	aplicárselos
aplicartela	aplicártela
aplicartelas	aplicártelas
aplicartelo	aplicártelo
aplicartelos	aplicártelos
aplicasemos	aplicásemos
aplicate	aplícate
apliqueis	apliquéis
apliquela	aplíquela
apliquelas	aplíquelas
apliquelo	aplíquelo
apliquelos	aplíquelos
apliquemonos	apliquémonos
apliquenla	aplíquenla
apliquenlas	aplíquenlas
apliquenlo	aplíquenlo
apliquenlos	aplíquenlos
apliquense	aplíquense
apliquese	aplíquese
aplomabamos	aplomábamos
aplomais	aplomáis
aplomandose	aplomándose
aplomaramos	aplomáramos
aplomaria	aplomaría
aplomariais	aplomaríais
aplomariamos	aplomaríamos
aplomarian	aplomarían
aplomarias	aplomarías
aplomasemos	aplomásemos
aplomeis	aploméis
apocabamos	apocábamos
apocais	apocáis
apocaliptica	apocalíptica
apocalipticas	apocalípticas
apocaliptico	apocalíptico
apocalipticos	apocalípticos
apocandose	apocándose
apocaramos	apocáramos
apocaria	apocaría
apocariais	apocaríais
apocariamos	apocaríamos
apocarian	apocarían
apocarias	apocarías
apocasemos	apocásemos
apocinacea	apocinácea
apocinaceas	apocináceas
apocinaceo	apocináceo
apocinaceos	apocináceos
apocopabamos	apocopábamos
apocopais	apocopáis
apocopandose	apocopándose
apocoparamos	apocopáramos
apocoparia	apocoparía
apocopariais	apocoparíais
apocopariamos	apocoparíamos
apocoparian	apocoparían
apocoparias	apocoparías
apocopasemos	apocopásemos
apocopeis	apocopéis
apocrifa	apócrifa
apocrifas	apócrifas
apocrifo	apócrifo
apocrifos	apócrifos
apodabamos	apodábamos
apodais	apodáis
apodandose	apodándose
apodaramos	apodáramos
apodaria	apodaría
apodariais	apodaríais
apodariamos	apodaríamos
apodarian	apodarían
apodarias	apodarías
apodasemos	apodásemos
apodeis	apodéis
apoderabamos	apoderábamos
apoderais	apoderáis
apoderandome	apoderándome
apoderandonos	apoderándonos
apoderandoos	apoderándoos
apoderandose	apoderándose
apoderandote	apoderándote
apoderaramos	apoderáramos
apoderaria	apoderaría
apoderariais	apoderaríais
apoderariamos	apoderaríamos
apoderarian	apoderarían
apoderarias	apoderarías
apoderasemos	apoderásemos
apodereis	apoderéis
apodictica	apodíctica
apodicticas	apodícticas
apodictico	apodíctico
apodicticos	apodícticos
apofisis	apófisis
apolillabamos	apolillábamos
apolillais	apolilláis
apolillandose	apolillándose
apolillaramos	apolilláramos
apolillaria	apolillaría
apolillariais	apolillaríais
apolillariamos	apolillaríamos
apolillarian	apolillarían
apolillarias	apolillarías
apolillasemos	apolillásemos
apolilleis	apolilléis
apolinea	apolínea
apolineas	apolíneas
apolineo	apolíneo
apolineos	apolíneos
apolismabamos	apolismábamos
apolismais	apolismáis
apolismandose	apolismándose
apolismaramos	apolismáramos
apolismaria	apolismaría
apolismariais	apolismaríais
apolismariamos	apolismaríamos
apolismarian	apolismarían
apolismarias	apolismarías
apolismasemos	apolismásemos
apolismeis	apolisméis
apolitica	apolítica
apoliticas	apolíticas
apolitico	apolítico
apoliticos	apolíticos
apologa	apóloga
apologas	apólogas
apologetica	apologética
apologeticas	apologéticas
apologetico	apologético
apologeticos	apologéticos
apologia	apología
apologias	apologías
apologo	apólogo
apologos	apólogos
apoltronabamos	apoltronábamos
apoltronais	apoltronáis
apoltronandose	apoltronándose
apoltronaramos	apoltronáramos
apoltronaria	apoltronaría
apoltronariais	apoltronaríais
apoltronariamos	apoltronaríamos
apoltronarian	apoltronarían
apoltronarias	apoltronarías
apoltronasemos	apoltronásemos
apoltroneis	apoltronéis
apomaceis	apomacéis
apomazabamos	apomazábamos
apomazais	apomazáis
apomazandose	apomazándose
apomazaramos	apomazáramos
apomazaria	apomazaría
apomazariais	apomazaríais
apomazariamos	apomazaríamos
apomazarian	apomazarían
apomazarias	apomazarías
apomazasemos	apomazásemos
apon	apón
apondra	apondrá
apondran	apondrán
apondras	apondrás
apondre	apondré
apondreis	apondréis
apondria	apondría
apondriais	apondríais
apondriamos	apondríamos
apondrian	apondrían
apondrias	apondrías
aponeis	aponéis
apongais	apongáis
aponia	aponía
aponiais	aponíais
aponiamos	aponíamos
aponian	aponían
aponias	aponías
aponiendose	aponiéndose
apontocabamos	apontocábamos
apontocais	apontocáis
apontocandose	apontocándose
apontocaramos	apontocáramos
apontocaria	apontocaría
apontocariais	apontocaríais
apontocariamos	apontocaríamos
apontocarian	apontocarían
apontocarias	apontocarías
apontocasemos	apontocásemos
apontoqueis	apontoquéis
apoplejia	apoplejía
apoplejias	apoplejías
apoqueis	apoquéis
apoquinabamos	apoquinábamos
apoquinais	apoquináis
apoquinandose	apoquinándose
apoquinaramos	apoquináramos
apoquinaria	apoquinaría
apoquinariais	apoquinaríais
apoquinariamos	apoquinaríamos
apoquinarian	apoquinarían
apoquinarias	apoquinarías
apoquinasemos	apoquinásemos
apoquineis	apoquinéis
aporcabamos	aporcábamos
aporcais	aporcáis
aporcandose	aporcándose
aporcaramos	aporcáramos
aporcaria	aporcaría
aporcariais	aporcaríais
aporcariamos	aporcaríamos
aporcarian	aporcarían
aporcarias	aporcarías
aporcasemos	aporcásemos
aporismabamos	aporismábamos
aporismais	aporismáis
aporismandose	aporismándose
aporismaramos	aporismáramos
aporismaria	aporismaría
aporismariais	aporismaríais
aporismariamos	aporismaríamos
aporismarian	aporismarían
aporismarias	aporismarías
aporismasemos	aporismásemos
aporismeis	aporisméis
aporqueis	aporquéis
aporraceabamos	aporraceábamos
aporraceais	aporraceáis
aporraceandose	aporraceándose
aporracearamos	aporraceáramos
aporracearia	aporracearía
aporraceariais	aporracearíais
aporraceariamos	aporracearíamos
aporracearian	aporracearían
aporracearias	aporracearías
aporraceasemos	aporraceásemos
aporraceeis	aporraceéis
aporreabamos	aporreábamos
aporreais	aporreáis
aporreandose	aporreándose
aporrearamos	aporreáramos
aporrearia	aporrearía
aporreariais	aporrearíais
aporreariamos	aporrearíamos
aporrearian	aporrearían
aporrearias	aporrearías
aporreasemos	aporreásemos
aporreeis	aporreéis
aporrillabamos	aporrillábamos
aporrillais	aporrilláis
aporrillandose	aporrillándose
aporrillaramos	aporrilláramos
aporrillaria	aporrillaría
aporrillariais	aporrillaríais
aporrillariamos	aporrillaríamos
aporrillarian	aporrillarían
aporrillarias	aporrillarías
aporrillasemos	aporrillásemos
aporrilleis	aporrilléis
aportabamos	aportábamos
aportacion	aportación
aportais	aportáis
aportandole	aportándole
aportandoles	aportándoles
aportandome	aportándome
aportandonos	aportándonos
aportandoos	aportándoos
aportandose	aportándose
aportandote	aportándote
aportaramos	aportáramos
aportaria	aportaría
aportariais	aportaríais
aportariamos	aportaríamos
aportarian	aportarían
aportarias	aportarías
aportasemos	aportásemos
aporteis	aportéis
aportillabamos	aportillábamos
aportillais	aportilláis
aportillandose	aportillándose
aportillaramos	aportilláramos
aportillaria	aportillaría
aportillariais	aportillaríais
aportillariamos	aportillaríamos
aportillarian	aportillarían
aportillarias	aportillarías
aportillasemos	aportillásemos
aportilleis	aportilléis
aposabamos	aposábamos
aposais	aposáis
aposandose	aposándose
aposaramos	aposáramos
aposaria	aposaría
aposariais	aposaríais
aposariamos	aposaríamos
aposarian	aposarían
aposarias	aposarías
aposasemos	aposásemos
aposeis	aposéis
aposentabamos	aposentábamos
aposentais	aposentáis
aposentandose	aposentándose
aposentaramos	aposentáramos
aposentaria	aposentaría
aposentariais	aposentaríais
aposentariamos	aposentaríamos
aposentarian	aposentarían
aposentarias	aposentarías
aposentasemos	aposentásemos
aposenteis	aposentéis
aposicion	aposición
aposito	apósito
apositos	apósitos
apostabamos	apostábamos
apostais	apostáis
apostandola	apostándola
apostandolas	apostándolas
apostandole	apostándole
apostandoles	apostándoles
apostandolo	apostándolo
apostandolos	apostándolos
apostandome	apostándome
apostandonos	apostándonos
apostandoos	apostándoos
apostandose	apostándose
apostandote	apostándote
apostaramos	apostáramos
apostaria	apostaría
apostariais	apostaríais
apostariamos	apostaríamos
apostarian	apostarían
apostarias	apostarías
apostasemos	apostásemos
apostasia	apostasía
apostasias	apostasías
apostatabamos	apostatábamos
apostatais	apostatáis
apostatandose	apostatándose
apostataramos	apostatáramos
apostataria	apostataría
apostatariais	apostataríais
apostatariamos	apostataríamos
apostatarian	apostatarían
apostatarias	apostatarías
apostatasemos	apostatásemos
apostateis	apostatéis
aposteis	apostéis
apostemabamos	apostemábamos
apostemacion	apostemación
apostemais	apostemáis
apostemandose	apostemándose
apostemaramos	apostemáramos
apostemaria	apostemaría
apostemariais	apostemaríais
apostemariamos	apostemaríamos
apostemarian	apostemarían
apostemarias	apostemarías
apostemasemos	apostemásemos
apostemeis	aposteméis
apostillabamos	apostillábamos
apostillais	apostilláis
apostillandose	apostillándose
apostillaramos	apostilláramos
apostillaria	apostillaría
apostillariais	apostillaríais
apostillariamos	apostillaríamos
apostillarian	apostillarían
apostillarias	apostillarías
apostillasemos	apostillásemos
apostilleis	apostilléis
apostol	apóstol
apostoles	apóstoles
apostolica	apostólica
apostolicas	apostólicas
apostolico	apostólico
apostolicos	apostólicos
apostrofabamos	apostrofábamos
apostrofais	apostrofáis
apostrofandose	apostrofándose
apostrofaramos	apostrofáramos
apostrofaria	apostrofaría
apostrofariais	apostrofaríais
apostrofariamos	apostrofaríamos
apostrofarian	apostrofarían
apostrofarias	apostrofarías
apostrofasemos	apostrofásemos
apostrofeis	apostroféis
apostrofos	apóstrofos
apotrerabamos	apotrerábamos
apotrerais	apotreráis
apotrerandose	apotrerándose
apotreraramos	apotreráramos
apotreraria	apotreraría
apotrerariais	apotreraríais
apotrerariamos	apotreraríamos
apotrerarian	apotrerarían
apotrerarias	apotrerarías
apotrerasemos	apotrerásemos
apotrereis	apotreréis
apoyabamos	apoyábamos
apoyais	apoyáis
apoyame	apóyame
apoyandola	apoyándola
apoyandolas	apoyándolas
apoyandole	apoyándole
apoyandoles	apoyándoles
apoyandolo	apoyándolo
apoyandolos	apoyándolos
apoyandome	apoyándome
apoyandonos	apoyándonos
apoyandoos	apoyándoos
apoyandose	apoyándose
apoyandote	apoyándote
apoyanos	apóyanos
apoyaramos	apoyáramos
apoyaria	apoyaría
apoyariais	apoyaríais
apoyariamos	apoyaríamos
apoyarian	apoyarían
apoyarias	apoyarías
apoyasemos	apoyásemos
apoyate	apóyate
apoyeis	apoyéis
apoyemonos	apoyémonos
apoyense	apóyense
apoyese	apóyese
apreciabamos	apreciábamos
apreciacion	apreciación
apreciais	apreciáis
apreciandose	apreciándose
apreciaramos	apreciáramos
apreciaria	apreciaría
apreciariais	apreciaríais
apreciariamos	apreciaríamos
apreciarian	apreciarían
apreciarias	apreciarías
apreciasemos	apreciásemos
aprecieis	apreciéis
apreciemonos	apreciémonos
apreciense	apréciense
apreciese	apréciese
aprehendais	aprehendáis
aprehendeis	aprehendéis
aprehendera	aprehenderá
aprehenderan	aprehenderán
aprehenderas	aprehenderás
aprehendere	aprehenderé
aprehendereis	aprehenderéis
aprehenderia	aprehendería
aprehenderiais	aprehenderíais
aprehenderiamos	aprehenderíamos
aprehenderian	aprehenderían
aprehenderias	aprehenderías
aprehendi	aprehendí
aprehendia	aprehendía
aprehendiais	aprehendíais
aprehendiamos	aprehendíamos
aprehendian	aprehendían
aprehendias	aprehendías
aprehendiendose	aprehendiéndose
aprehendieramos	aprehendiéramos
aprehendieremos	aprehendiéremos
aprehendiesemos	aprehendiésemos
aprehendio	aprehendió
aprehension	aprehensión
apreimposicion	apreimposición
apreinimposicion	apreinimposición
apreinterimposicion	apreinterimposición
apreinterinimposicion	apreinterinimposición
apreinterposicion	apreinterposición
apreinterproimposicion	apreinterproimposición
apreinterproinimposicion	apreinterproinimposición
apreinterproposicion	apreinterproposición
apreinterprosuperimposicion	apreinterprosuperimposición
apreinterprosuperinimposicion	apreinterprosuperinimposición
apreinterprosuperposicion	apreinterprosuperposición
apreintersuperimposicion	apreintersuperimposición
apreintersuperinimposicion	apreintersuperinimposición
apreintersuperposicion	apreintersuperposición
apremiabamos	apremiábamos
apremiais	apremiáis
apremiandola	apremiándola
apremiandolas	apremiándolas
apremiandole	apremiándole
apremiandoles	apremiándoles
apremiandolo	apremiándolo
apremiandolos	apremiándolos
apremiandose	apremiándose
apremiaramos	apremiáramos
apremiaria	apremiaría
apremiariais	apremiaríais
apremiariamos	apremiaríamos
apremiarian	apremiarían
apremiarias	apremiarías
apremiasemos	apremiásemos
apremieis	apremiéis
aprendais	aprendáis
aprendala	apréndala
aprendalas	apréndalas
aprendalo	apréndalo
aprendalos	apréndalos
aprendamela	apréndamela
aprendamelas	apréndamelas
aprendamelo	apréndamelo
aprendamelos	apréndamelos
aprendanla	apréndanla
aprendanlas	apréndanlas
aprendanlo	apréndanlo
aprendanlos	apréndanlos
aprendanmela	apréndanmela
aprendanmelas	apréndanmelas
aprendanmelo	apréndanmelo
aprendanmelos	apréndanmelos
aprendannosla	apréndannosla
aprendannoslas	apréndannoslas
aprendannoslo	apréndannoslo
aprendannoslos	apréndannoslos
aprendanosla	apréndanosla
aprendanoslas	apréndanoslas
aprendanoslo	apréndanoslo
aprendanoslos	apréndanoslos
aprendansela	apréndansela
aprendanselas	apréndanselas
aprendanselo	apréndanselo
aprendanselos	apréndanselos
aprendasela	apréndasela
aprendaselas	apréndaselas
aprendaselo	apréndaselo
aprendaselos	apréndaselos
aprendeis	aprendéis
aprendela	apréndela
aprendelas	apréndelas
aprendelo	apréndelo
aprendelos	apréndelos
aprendera	aprenderá
aprenderan	aprenderán
aprenderas	aprenderás
aprendere	aprenderé
aprendereis	aprenderéis
aprenderia	aprendería
aprenderiais	aprenderíais
aprenderiamos	aprenderíamos
aprenderian	aprenderían
aprenderias	aprenderías
aprendermela	aprendérmela
aprendermelas	aprendérmelas
aprendermelo	aprendérmelo
aprendermelos	aprendérmelos
aprendernosla	aprendérnosla
aprendernoslas	aprendérnoslas
aprendernoslo	aprendérnoslo
aprendernoslos	aprendérnoslos
aprenderosla	aprendérosla
aprenderoslas	aprendéroslas
aprenderoslo	aprendéroslo
aprenderoslos	aprendéroslos
aprendersela	aprendérsela
aprenderselas	aprendérselas
aprenderselo	aprendérselo
aprenderselos	aprendérselos
aprendertela	aprendértela
aprendertelas	aprendértelas
aprendertelo	aprendértelo
aprendertelos	aprendértelos
aprendi	aprendí
aprendia	aprendía
aprendiais	aprendíais
aprendiamos	aprendíamos
aprendian	aprendían
aprendias	aprendías
aprendiendola	aprendiéndola
aprendiendolas	aprendiéndolas
aprendiendolo	aprendiéndolo
aprendiendolos	aprendiéndolos
aprendiendome	aprendiéndome
aprendiendonos	aprendiéndonos
aprendiendoos	aprendiéndoos
aprendiendose	aprendiéndose
aprendiendote	aprendiéndote
aprendieramos	aprendiéramos
aprendieremos	aprendiéremos
aprendiesemos	aprendiésemos
aprendio	aprendió
aprension	aprensión
apreposicion	apreposición
apreproimposicion	apreproimposición
apreproinimposicion	apreproinimposición
apreproposicion	apreproposición
apreprosuperimposicion	apreprosuperimposición
apreprosuperinimposicion	apreprosuperinimposición
apreprosuperposicion	apreprosuperposición
apresabamos	apresábamos
apresais	apresáis
apresandola	apresándola
apresandolas	apresándolas
apresandolo	apresándolo
apresandolos	apresándolos
apresandose	apresándose
apresaramos	apresáramos
apresaria	apresaría
apresariais	apresaríais
apresariamos	apresaríamos
apresarian	apresarían
apresarias	apresarías
apresasemos	apresásemos
apreseis	apreséis
aprestabamos	aprestábamos
aprestais	aprestáis
aprestandose	aprestándose
aprestaramos	aprestáramos
aprestaria	aprestaría
aprestariais	aprestaríais
aprestariamos	aprestaríamos
aprestarian	aprestarían
aprestarias	aprestarías
aprestasemos	aprestásemos
aprestate	apréstate
apresteis	aprestéis
aprestemonos	aprestémonos
aprestense	apréstense
aprestese	apréstese
apresuperimposicion	apresuperimposición
